batsman,out,numberofballs,total_runs,average,strikerate,batting_type
V Kohli,152,4111,5426,35.69736842,131.987351,0
SK Raina,160,3916,5386,33.6625,137.5383044,0
RG Sharma,161,3742,4902,30.44720497,130.9994655,0
DA Warner,114,3292,4717,41.37719298,143.2867558,1
S Dhawan,137,3665,4601,33.58394161,125.5388813,1
CH Gayle,110,2972,4525,41.13636364,152.2543742,0
MS Dhoni,118,3206,4450,37.71186441,138.8022458,0
RV Uthappa,156,3381,4420,28.33333333,130.7305531,0
AB de Villiers,104,2902,4414,42.44230769,152.1019986,0
G Gambhir,134,3400,4219,31.48507463,124.0882353,0
AM Rahane,117,3133,3834,32.76923077,122.3747207,0
KD Karthik,138,2813,3669,26.58695652,130.4301458,1
SR Watson,115,2566,3590,31.2173913,139.9064692,1
AT Rayudu,114,2616,3313,29.06140351,126.6437309,0
YK Pathan,110,2240,3222,29.29090909,143.8392857,0
BB McCullum,106,2185,2886,27.22641509,132.0823799,0
PA Patel,127,2352,2864,22.5511811,121.7687075,0
MK Pandey,95,2352,2855,30.05263158,121.3860544,0
KA Pollard,102,1879,2772,27.17647059,147.5252794,0
Yuvraj Singh,109,2121,2755,25.27522936,129.8915606,0
V Sehwag,98,1746,2728,27.83673469,156.2428408,1
M Vijay,93,2104,2589,27.83870968,123.0513308,1
SE Marsh,65,1866,2489,38.29230769,133.3869239,1
JH Kallis,89,2219,2427,27.26966292,109.3735917,1
DR Smith,81,1758,2385,29.44444444,135.665529,1
SR Tendulkar,71,1943,2334,32.87323944,120.1235203,0
SV Samson,79,1693,2215,28.03797468,130.8328411,1
R Dravid,77,1877,2174,28.23376623,115.823122,0
AC Gilchrist,76,1492,2069,27.22368421,138.6729223,1
SPD Smith,59,1570,2038,34.54237288,129.8089172,0
JP Duminy,49,1633,2031,41.44897959,124.3723209,1
KL Rahul,49,1428,1988,40.57142857,139.2156863,0
MEK Hussey,52,1608,1977,38.01923077,122.9477612,1
RA Jadeja,83,1567,1931,23.26506024,123.2291002,0
F du Plessis,56,1459,1861,33.23214286,127.5531186,0
DA Miller,54,1327,1858,34.40740741,140.0150716,1
DPMD Jayawardene,64,1460,1808,28.25,123.8356164,1
WP Saha,74,1340,1767,23.87837838,131.8656716,0
RR Pant,49,1071,1767,36.06122449,164.9859944,0
AJ Finch,66,1332,1741,26.37878788,130.7057057,1
MK Tiwary,60,1446,1696,28.26666667,117.2890733,1
SS Iyer,57,1321,1695,29.73684211,128.3118849,1
