Player,Mat,Inns,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s,BT
V Kohli (INDIA),75,70,2633,94,52.66,1907,138.07,5,24,2,247,71,0
RG Sharma (INDIA),104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
MJ Guptill (NZ),83,80,2436,105,33.36,1810,134.58,2,15,2,215,113,0
Shoaib Malik (ICC/PAK),111,104,2263,75,30.58,1824,124.06,0,7,1,186,61,0
BB McCullum (NZ),71,70,2140,123,35.66,1571,136.21,2,13,3,199,91,0
DA Warner (AUS),76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
EJG Morgan (ENG),86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
Mohammad Shahzad (AFG),65,65,1936,118,31.22,1436,134.81,1,12,3,218,72,0
JP Duminy (SA),81,75,1934,96,38.68,1532,126.24,0,11,6,138,71,1
PR Stirling (IRE),72,71,1929,91,29.67,1401,137.68,0,16,8,233,59,0
Mohammad Hafeez (PAK),89,86,1908,86,24.46,1643,116.12,0,10,6,196,51,1
TM Dilshan (SL),80,79,1889,104,28.19,1567,120.54,1,13,10,223,33,1
AJ Finch (AUS),58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,0
LRPL Taylor (NZ),95,87,1743,63,25.63,1430,121.88,0,5,5,110,65,0
Umar Akmal (PAK),84,79,1690,94,26,1377,122.73,0,8,10,122,55,0
AB de Villiers (SA),78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
H Masakadza (ZIM),66,66,1662,93,25.96,1418,117.2,0,11,1,151,65,0
AD Hales (ENG),60,60,1644,116,31.01,1203,136.65,1,8,4,175,55,1
CH Gayle (WI),58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
MS Dhoni (INDIA),98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
Tamim Iqbal (BDESH/ICC/World),75,75,1613,103,23.04,1383,116.63,1,6,6,174,41,0
MN Samuels (WI),67,65,1611,89,29.29,1386,116.23,0,10,0,144,69,0
SK Raina (INDIA),78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
GJ Maxwell (AUS),61,54,1576,145,35.02,985,160,3,7,1,133,81,1
Shakib Al Hasan (BDESH),76,76,1567,84,23.74,1266,123.77,0,9,5,163,33,1
C Munro (NZ),60,57,1546,109,30.92,966,160.04,3,9,5,114,100,1
KS Williamson (NZ),57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
S Dhawan (INDIA),58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
KJ O'Brien (IRE),90,83,1504,124,20.6,1124,133.8,1,3,10,117,69,0
DPMD Jayawardene (SL),55,55,1493,100,31.76,1121,133.18,1,9,4,173,33,1
Ahmed Shehzad (PAK),59,59,1471,111,25.8,1282,114.74,1,7,2,157,33,0
SR Watson (AUS),58,56,1462,124,29.24,1006,145.32,1,10,3,115,83,1
Mahmudullah (BDESH),83,76,1430,64,23.83,1166,122.64,0,4,2,113,48,0
Shahid Afridi (ICC/PAK),99,91,1416,54,17.92,944,150,0,4,8,103,73,1
Babar Azam (PAK),36,36,1405,97,50.17,1102,127.49,0,12,0,139,20,1
KJ Coetzer (SCOT),58,56,1386,89,25.66,1136,122,0,6,3,144,45,0
KC Sangakkara (SL),56,53,1382,78,31.4,1156,119.55,0,8,2,139,20,0
F du Plessis (SA/World),44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
Mohammad Nabi (AFG),75,70,1316,89,22.3,902,145.89,0,4,4,83,78,1
